subID,trial,setSize,targetPresent,response,RT
ReTest.Sagar.Bi,1,8,0,LeftArrow,3.653891
ReTest.Sagar.Bi,2,16,0,LeftArrow,6.687263
ReTest.Sagar.Bi,3,8,1,RightArrow,1.847516
ReTest.Sagar.Bi,4,16,1,LeftArrow,6.748745
ReTest.Sagar.Bi,5,4,1,RightArrow,1.355896
ReTest.Sagar.Bi,6,4,1,RightArrow,3.39464
ReTest.Sagar.Bi,7,4,1,RightArrow,3.766951
ReTest.Sagar.Bi,8,8,1,RightArrow,1.063773
ReTest.Sagar.Bi,9,8,0,RightArrow,8.240092
ReTest.Sagar.Bi,10,16,0,RightArrow,8.972391
ReTest.Sagar.Bi,11,16,1,RightArrow,2.398651
ReTest.Sagar.Bi,12,4,1,RightArrow,1.477511
ReTest.Sagar.Bi,13,16,1,LeftArrow,6.788067
ReTest.Sagar.Bi,14,16,1,RightArrow,8.35362
ReTest.Sagar.Bi,15,8,0,LeftArrow,6.711888
ReTest.Sagar.Bi,16,8,0,LeftArrow,3.521186
ReTest.Sagar.Bi,17,16,0,LeftArrow,8.713456
ReTest.Sagar.Bi,18,4,0,LeftArrow,2.368894
ReTest.Sagar.Bi,19,4,0,LeftArrow,2.916834
ReTest.Sagar.Bi,20,8,1,RightArrow,4.255629
ReTest.Sagar.Bi,21,4,1,LeftArrow,1.555479
ReTest.Sagar.Bi,22,4,1,RightArrow,1.867875
ReTest.Sagar.Bi,23,8,0,LeftArrow,7.827124
ReTest.Sagar.Bi,24,8,1,RightArrow,3.485561
ReTest.Sagar.Bi,25,16,0,,10
ReTest.Sagar.Bi,26,16,0,LeftArrow,8.239263
ReTest.Sagar.Bi,27,4,1,RightArrow,2.556049
ReTest.Sagar.Bi,28,8,0,LeftArrow,4.77787
ReTest.Sagar.Bi,29,8,0,LeftArrow,3.526215
ReTest.Sagar.Bi,30,8,1,RightArrow,2.245652
ReTest.Sagar.Bi,31,16,1,RightArrow,4.547067
ReTest.Sagar.Bi,32,4,0,LeftArrow,3.16678
ReTest.Sagar.Bi,33,16,0,LeftArrow,4.028352
ReTest.Sagar.Bi,34,8,1,RightArrow,3.110611
ReTest.Sagar.Bi,35,16,1,RightArrow,1.345433
ReTest.Sagar.Bi,36,4,0,LeftArrow,3.820726
ReTest.Sagar.Bi,37,16,1,RightArrow,7.208163
ReTest.Sagar.Bi,38,16,0,,10
ReTest.Sagar.Bi,39,4,0,LeftArrow,2.058602
ReTest.Sagar.Bi,40,4,0,LeftArrow,3.683188
ReTest.Sagar.Bi,41,8,1,RightArrow,1.788658
ReTest.Sagar.Bi,42,4,0,LeftArrow,4.520511
ReTest.Andy.Bi,1,16,1,RightArrow,1.684697
ReTest.Andy.Bi,2,16,0,LeftArrow,1.985516
ReTest.Andy.Bi,3,16,1,LeftArrow,1.5591
ReTest.Andy.Bi,4,8,1,RightArrow,1.458317
ReTest.Andy.Bi,5,8,0,LeftArrow,1.554337
ReTest.Andy.Bi,6,8,1,RightArrow,1.037642
ReTest.Andy.Bi,7,4,1,LeftArrow,0.721085
ReTest.Andy.Bi,8,4,0,LeftArrow,1.379976
ReTest.Andy.Bi,9,4,0,LeftArrow,1.291054
ReTest.Andy.Bi,10,16,0,LeftArrow,1.602325
ReTest.Andy.Bi,11,16,1,LeftArrow,1.69398
ReTest.Andy.Bi,12,16,1,LeftArrow,2.144558
ReTest.Andy.Bi,13,16,0,LeftArrow,2.362509
ReTest.Andy.Bi,14,8,0,LeftArrow,1.296768
ReTest.Andy.Bi,15,4,1,RightArrow,1.373266
ReTest.Andy.Bi,16,4,1,RightArrow,0.854238
ReTest.Andy.Bi,17,8,0,LeftArrow,1.696806
ReTest.Andy.Bi,18,16,1,RightArrow,1.316735
ReTest.Andy.Bi,19,4,1,RightArrow,0.813446
ReTest.Andy.Bi,20,4,1,LeftArrow,1.056195
ReTest.Andy.Bi,21,8,1,RightArrow,2.02737
ReTest.Andy.Bi,22,8,0,LeftArrow,2.162926
ReTest.Andy.Bi,23,16,1,LeftArrow,1.474255
ReTest.Andy.Bi,24,4,0,LeftArrow,1.532599
ReTest.Andy.Bi,25,16,0,LeftArrow,2.015078
ReTest.Andy.Bi,26,16,0,LeftArrow,1.99576
ReTest.Andy.Bi,27,4,1,RightArrow,1.892915
ReTest.Andy.Bi,28,8,0,LeftArrow,2.156936
ReTest.Andy.Bi,29,8,1,RightArrow,1.319583
ReTest.Andy.Bi,30,4,0,LeftArrow,1.36716
ReTest.Andy.Bi,31,4,0,LeftArrow,1.004678
ReTest.Andy.Bi,32,16,0,LeftArrow,1.670936
ReTest.Andy.Bi,33,16,1,RightArrow,3.595271
ReTest.Andy.Bi,34,4,1,RightArrow,1.364645
ReTest.Andy.Bi,35,8,1,RightArrow,3.539242
ReTest.Andy.Bi,36,4,0,LeftArrow,1.027271
ReTest.Andy.Bi,37,4,0,LeftArrow,1.013774
ReTest.Andy.Bi,38,16,0,LeftArrow,2.154993
ReTest.Andy.Bi,39,8,0,LeftArrow,1.208873
ReTest.Andy.Bi,40,8,1,RightArrow,1.961382
ReTest.Andy.Bi,41,8,0,LeftArrow,1.302744
ReTest.Andy.Bi,42,8,1,RightArrow,1.392273
ReTest.Rahul.Bi,1,16,1,LeftArrow,1.554504
ReTest.Rahul.Bi,2,16,1,RightArrow,1.756042
ReTest.Rahul.Bi,3,8,0,LeftArrow,1.67349
ReTest.Rahul.Bi,4,8,1,RightArrow,1.86066
ReTest.Rahul.Bi,5,16,0,LeftArrow,2.336344
ReTest.Rahul.Bi,6,8,1,RightArrow,1.106195
ReTest.Rahul.Bi,7,8,0,LeftArrow,1.513704
ReTest.Rahul.Bi,8,4,0,LeftArrow,1.195606
ReTest.Rahul.Bi,9,8,1,RightArrow,2.231347
ReTest.Rahul.Bi,10,4,0,LeftArrow,1.370548
ReTest.Rahul.Bi,11,8,1,RightArrow,0.941311
ReTest.Rahul.Bi,12,8,1,RightArrow,1.591521
ReTest.Rahul.Bi,13,4,1,RightArrow,1.117214
ReTest.Rahul.Bi,14,4,1,RightArrow,1.219544
ReTest.Rahul.Bi,15,16,1,RightArrow,1.255822
ReTest.Rahul.Bi,16,4,0,LeftArrow,1.131897
ReTest.Rahul.Bi,17,16,0,LeftArrow,1.996745
ReTest.Rahul.Bi,18,8,0,LeftArrow,1.607013
ReTest.Rahul.Bi,19,4,1,RightArrow,1.661046
ReTest.Rahul.Bi,20,16,0,LeftArrow,2.475167
ReTest.Rahul.Bi,21,4,1,RightArrow,0.63878
ReTest.Rahul.Bi,22,16,0,LeftArrow,2.072239
ReTest.Rahul.Bi,23,4,1,RightArrow,1.195275
ReTest.Rahul.Bi,24,4,0,LeftArrow,1.604882
ReTest.Rahul.Bi,25,16,1,RightArrow,2.74722
ReTest.Rahul.Bi,26,4,1,RightArrow,0.761847
ReTest.Rahul.Bi,27,4,0,LeftArrow,1.132043
ReTest.Rahul.Bi,28,16,0,LeftArrow,2.155139
ReTest.Rahul.Bi,29,8,0,LeftArrow,1.244331
ReTest.Rahul.Bi,30,8,1,LeftArrow,1.947853
ReTest.Rahul.Bi,31,16,0,LeftArrow,1.822318
ReTest.Rahul.Bi,32,16,1,RightArrow,2.093893
ReTest.Rahul.Bi,33,8,0,LeftArrow,2.94825
ReTest.Rahul.Bi,34,8,0,LeftArrow,1.420508
ReTest.Rahul.Bi,35,4,1,RightArrow,0.992602
ReTest.Rahul.Bi,36,4,0,LeftArrow,0.940355
ReTest.Rahul.Bi,37,16,1,LeftArrow,2.48825
ReTest.Rahul.Bi,38,16,0,LeftArrow,3.027277
ReTest.Rahul.Bi,39,16,1,RightArrow,2.198182
ReTest.Rahul.Bi,40,8,1,RightArrow,1.490548
ReTest.Rahul.Bi,41,8,0,LeftArrow,1.728188
ReTest.Rahul.Bi,42,4,0,LeftArrow,0.931407
ReTest.Chris.Bi,1,8,0,LeftArrow,2.895127
ReTest.Chris.Bi,2,4,0,LeftArrow,1.259648
ReTest.Chris.Bi,3,8,0,LeftArrow,2.58629
ReTest.Chris.Bi,4,16,0,LeftArrow,5.091129
ReTest.Chris.Bi,5,8,0,LeftArrow,3.59938
ReTest.Chris.Bi,6,4,0,LeftArrow,1.536271
ReTest.Chris.Bi,7,8,1,RightArrow,0.87005
ReTest.Chris.Bi,8,4,1,RightArrow,1.030976
ReTest.Chris.Bi,9,4,0,LeftArrow,1.795414
ReTest.Chris.Bi,10,16,1,RightArrow,3.392606
