subID,trial,setSize,targetPresent,response,RT
ReTest.Sagar.Mono,1,8,0,LeftArrow,2.497711
ReTest.Sagar.Mono,2,4,0,LeftArrow,0.459474
ReTest.Sagar.Mono,3,4,1,RightArrow,0.560575
ReTest.Sagar.Mono,4,4,0,LeftArrow,0.633396
ReTest.Sagar.Mono,5,16,1,RightArrow,0.557473
ReTest.Sagar.Mono,6,16,0,LeftArrow,0.511656
ReTest.Sagar.Mono,7,8,0,LeftArrow,0.67556
ReTest.Sagar.Mono,8,16,1,RightArrow,0.380413
ReTest.Sagar.Mono,9,8,0,LeftArrow,0.590799
ReTest.Sagar.Mono,10,16,0,LeftArrow,0.654472
ReTest.Sagar.Mono,11,16,0,LeftArrow,1.461503
ReTest.Sagar.Mono,12,16,1,RightArrow,0.725925
ReTest.Sagar.Mono,13,8,1,RightArrow,0.76114
ReTest.Sagar.Mono,14,16,0,LeftArrow,0.937837
ReTest.Sagar.Mono,15,4,1,RightArrow,0.833746
ReTest.Sagar.Mono,16,16,1,RightArrow,0.808719
ReTest.Sagar.Mono,17,8,1,RightArrow,0.59074
ReTest.Sagar.Mono,18,4,0,LeftArrow,0.560854
ReTest.Sagar.Mono,19,16,1,RightArrow,1.737056
ReTest.Sagar.Mono,20,4,0,LeftArrow,0.573022
ReTest.Sagar.Mono,21,4,1,RightArrow,2.098871
ReTest.Sagar.Mono,22,8,0,LeftArrow,0.751147
ReTest.Sagar.Mono,23,8,1,RightArrow,0.71828
ReTest.Sagar.Mono,24,8,1,RightArrow,0.958093
ReTest.Sagar.Mono,25,4,0,LeftArrow,0.69599
ReTest.Sagar.Mono,26,4,1,RightArrow,0.853172
ReTest.Sagar.Mono,27,8,1,RightArrow,0.772674
ReTest.Sagar.Mono,28,8,1,RightArrow,0.823144
ReTest.Sagar.Mono,29,8,0,LeftArrow,0.612535
ReTest.Sagar.Mono,30,16,0,LeftArrow,0.660469
ReTest.Sagar.Mono,31,4,1,RightArrow,0.787595
ReTest.Sagar.Mono,32,4,0,LeftArrow,0.762477
ReTest.Sagar.Mono,33,8,1,RightArrow,0.737934
ReTest.Sagar.Mono,34,16,1,RightArrow,1.224458
ReTest.Sagar.Mono,35,16,0,LeftArrow,0.717518
ReTest.Sagar.Mono,36,4,1,RightArrow,0.787726
ReTest.Sagar.Mono,37,8,0,LeftArrow,0.675683
ReTest.Sagar.Mono,38,16,1,RightArrow,1.478706
ReTest.Sagar.Mono,39,4,1,RightArrow,5.728038
ReTest.Sagar.Mono,40,4,0,LeftArrow,0.700492
ReTest.Sagar.Mono,41,16,0,LeftArrow,1.761816
ReTest.Sagar.Mono,42,8,0,LeftArrow,0.589766
ReTest.Andy.Mono,1,16,0,LeftArrow,0.880734
ReTest.Andy.Mono,2,16,1,RightArrow,0.642495
ReTest.Andy.Mono,3,4,1,RightArrow,0.774129
ReTest.Andy.Mono,4,16,0,LeftArrow,0.695152
ReTest.Andy.Mono,5,4,1,RightArrow,0.719098
ReTest.Andy.Mono,6,4,0,LeftArrow,0.725549
ReTest.Andy.Mono,7,16,0,LeftArrow,0.727048
ReTest.Andy.Mono,8,16,1,RightArrow,0.760044
ReTest.Andy.Mono,9,8,0,LeftArrow,0.674581
ReTest.Andy.Mono,10,8,1,RightArrow,0.675368
ReTest.Andy.Mono,11,8,0,LeftArrow,0.545964
ReTest.Andy.Mono,12,4,1,RightArrow,0.716092
ReTest.Andy.Mono,13,8,0,LeftArrow,0.491224
ReTest.Andy.Mono,14,4,1,RightArrow,0.659514
ReTest.Andy.Mono,15,4,1,RightArrow,0.500832
ReTest.Andy.Mono,16,8,0,LeftArrow,0.713471
ReTest.Andy.Mono,17,8,0,LeftArrow,0.504554
ReTest.Andy.Mono,18,16,1,LeftArrow,0.602416
ReTest.Andy.Mono,19,4,1,RightArrow,1.135912
ReTest.Andy.Mono,20,8,0,LeftArrow,0.767282
ReTest.Andy.Mono,21,8,1,RightArrow,0.900362
ReTest.Andy.Mono,22,4,0,LeftArrow,0.720036
ReTest.Andy.Mono,23,16,0,LeftArrow,0.703472
ReTest.Andy.Mono,24,4,0,LeftArrow,0.622669
ReTest.Andy.Mono,25,8,1,RightArrow,0.862045
ReTest.Andy.Mono,26,8,1,RightArrow,0.647559
ReTest.Andy.Mono,27,16,1,RightArrow,1.052411
ReTest.Andy.Mono,28,4,0,LeftArrow,0.645164
ReTest.Andy.Mono,29,16,1,RightArrow,1.072377
ReTest.Andy.Mono,30,16,0,LeftArrow,0.514601
ReTest.Andy.Mono,31,4,0,LeftArrow,0.711851
ReTest.Andy.Mono,32,16,0,LeftArrow,0.590097
ReTest.Andy.Mono,33,8,1,RightArrow,0.686664
ReTest.Andy.Mono,34,4,0,LeftArrow,0.553263
ReTest.Andy.Mono,35,8,0,LeftArrow,0.500431
ReTest.Andy.Mono,36,16,1,RightArrow,0.678322
ReTest.Andy.Mono,37,16,0,LeftArrow,0.624938
ReTest.Andy.Mono,38,4,0,LeftArrow,0.526642
ReTest.Andy.Mono,39,16,1,RightArrow,0.533774
ReTest.Andy.Mono,40,4,1,RightArrow,0.690012
ReTest.Andy.Mono,41,8,1,RightArrow,0.48123
ReTest.Andy.Mono,42,8,1,RightArrow,1.240927
ReTest.Rahul.Mono,1,8,0,LeftArrow,1.783318
ReTest.Rahul.Mono,2,8,1,RightArrow,0.452165
ReTest.Rahul.Mono,3,4,1,RightArrow,0.480682
ReTest.Rahul.Mono,4,4,0,LeftArrow,0.476868
ReTest.Rahul.Mono,5,4,0,LeftArrow,0.434628
ReTest.Rahul.Mono,6,8,0,LeftArrow,0.457588
ReTest.Rahul.Mono,7,8,0,LeftArrow,0.412386
ReTest.Rahul.Mono,8,4,1,RightArrow,0.530729
ReTest.Rahul.Mono,9,16,0,LeftArrow,0.502888
ReTest.Rahul.Mono,10,8,0,LeftArrow,0.529775
ReTest.Rahul.Mono,11,16,1,RightArrow,0.497283
ReTest.Rahul.Mono,12,16,0,LeftArrow,0.594899
ReTest.Rahul.Mono,13,16,0,LeftArrow,0.572778
ReTest.Rahul.Mono,14,16,0,LeftArrow,0.570788
ReTest.Rahul.Mono,15,8,1,RightArrow,0.43634
ReTest.Rahul.Mono,16,16,0,LeftArrow,0.589908
ReTest.Rahul.Mono,17,16,0,LeftArrow,0.670653
ReTest.Rahul.Mono,18,16,1,RightArrow,0.615195
ReTest.Rahul.Mono,19,16,1,RightArrow,0.422154
ReTest.Rahul.Mono,20,4,1,RightArrow,0.501629
ReTest.Rahul.Mono,21,16,1,RightArrow,0.419313
ReTest.Rahul.Mono,22,4,0,LeftArrow,0.414996
ReTest.Rahul.Mono,23,4,1,RightArrow,0.58517
ReTest.Rahul.Mono,24,8,1,RightArrow,0.444077
ReTest.Rahul.Mono,25,4,0,LeftArrow,0.533923
ReTest.Rahul.Mono,26,16,0,LeftArrow,0.542031
ReTest.Rahul.Mono,27,4,1,RightArrow,0.444577
ReTest.Rahul.Mono,28,4,0,LeftArrow,0.493022
ReTest.Rahul.Mono,29,8,1,RightArrow,0.410756
ReTest.Rahul.Mono,30,4,1,RightArrow,0.481635
ReTest.Rahul.Mono,31,16,1,RightArrow,0.506789
ReTest.Rahul.Mono,32,8,1,RightArrow,0.587513
ReTest.Rahul.Mono,33,4,1,RightArrow,0.397306
ReTest.Rahul.Mono,34,4,0,LeftArrow,0.71483
ReTest.Rahul.Mono,35,8,1,RightArrow,0.539465
ReTest.Rahul.Mono,36,8,0,LeftArrow,0.558753
ReTest.Rahul.Mono,37,8,1,RightArrow,0.557876
ReTest.Rahul.Mono,38,16,1,RightArrow,0.486112
ReTest.Rahul.Mono,39,4,0,LeftArrow,0.608931
ReTest.Rahul.Mono,40,16,1,RightArrow,0.42374
ReTest.Rahul.Mono,41,8,0,LeftArrow,0.529558
ReTest.Rahul.Mono,42,8,0,LeftArrow,0.7048
ReTest.Chris.Mono,1,4,0,LeftArrow,0.998169
ReTest.Chris.Mono,2,4,0,LeftArrow,1.152769
ReTest.Chris.Mono,3,16,0,LeftArrow,0.625829
ReTest.Chris.Mono,4,8,0,LeftArrow,2.183337
ReTest.Chris.Mono,5,16,0,LeftArrow,0.597073
ReTest.Chris.Mono,6,4,1,RightArrow,0.561635
ReTest.Chris.Mono,7,4,1,RightArrow,0.70761
ReTest.Chris.Mono,8,8,0,LeftArrow,0.882401
ReTest.Chris.Mono,9,4,1,RightArrow,0.4515
ReTest.Chris.Mono,10,16,0,LeftArrow,0.458338
ReTest.Chris.Mono,11,4,0,LeftArrow,0.510109
ReTest.Chris.Mono,12,16,0,LeftArrow,0.580643
ReTest.Chris.Mono,13,4,1,RightArrow,0.433808
ReTest.Chris.Mono,14,4,0,LeftArrow,0.449551
ReTest.Chris.Mono,15,16,0,LeftArrow,0.594789
ReTest.Chris.Mono,16,8,0,LeftArrow,0.691631
ReTest.Chris.Mono,17,4,1,RightArrow,0.460101
ReTest.Chris.Mono,18,8,0,LeftArrow,0.627089
ReTest.Chris.Mono,19,8,0,LeftArrow,0.5831
ReTest.Chris.Mono,20,16,1,RightArrow,0.543575
ReTest.Chris.Mono,21,8,0,LeftArrow,0.647365
ReTest.Chris.Mono,22,8,1,RightArrow,0.842876
ReTest.Chris.Mono,23,4,0,LeftArrow,0.531875
ReTest.Chris.Mono,24,16,1,RightArrow,0.489794
ReTest.Chris.Mono,25,8,0,LeftArrow,0.478507
ReTest.Chris.Mono,26,4,0,LeftArrow,0.844653
ReTest.Chris.Mono,27,8,1,RightArrow,0.961521
ReTest.Chris.Mono,28,16,0,LeftArrow,0.605452
ReTest.Chris.Mono,29,8,1,RightArrow,0.533493
ReTest.Chris.Mono,30,8,1,RightArrow,0.424514
ReTest.Chris.Mono,31,16,1,RightArrow,0.608045
ReTest.Chris.Mono,32,4,0,LeftArrow,0.462716
ReTest.Chris.Mono,33,16,1,RightArrow,0.836732
ReTest.Chris.Mono,34,4,1,RightArrow,0.646716
ReTest.Chris.Mono,35,8,1,RightArrow,0.659432
ReTest.Chris.Mono,36,8,1,RightArrow,0.56357
ReTest.Chris.Mono,37,4,1,RightArrow,0.92106
ReTest.Chris.Mono,38,16,1,RightArrow,0.665618
ReTest.Chris.Mono,39,16,1,RightArrow,0.577091
ReTest.Chris.Mono,40,16,1,RightArrow,0.691843
ReTest.Chris.Mono,41,8,1,RightArrow,1.321167
ReTest.Chris.Mono,42,16,0,LeftArrow,0.908553
ReTest.Olu.Mono,1,16,1,RightArrow,0.614474
ReTest.Olu.Mono,2,16,1,RightArrow,0.511252
ReTest.Olu.Mono,3,4,1,LeftArrow,0.417781
ReTest.Olu.Mono,4,4,1,RightArrow,0.70548
ReTest.Olu.Mono,5,4,0,LeftArrow,0.688171
ReTest.Olu.Mono,6,4,1,RightArrow,0.806333
ReTest.Olu.Mono,7,16,0,LeftArrow,0.731908
ReTest.Olu.Mono,8,16,0,LeftArrow,0.658698
ReTest.Olu.Mono,9,16,0,LeftArrow,0.548015
ReTest.Olu.Mono,10,8,0,LeftArrow,0.61052
ReTest.Olu.Mono,11,16,1,RightArrow,0.527358
ReTest.Olu.Mono,12,16,0,LeftArrow,0.744663
ReTest.Olu.Mono,13,8,0,LeftArrow,0.45039
ReTest.Olu.Mono,14,16,1,RightArrow,0.589166
ReTest.Olu.Mono,15,8,1,RightArrow,0.649754
ReTest.Olu.Mono,16,4,1,RightArrow,0.585293
ReTest.Olu.Mono,17,4,1,RightArrow,0.516372
ReTest.Olu.Mono,18,16,0,LeftArrow,0.639549
