subID	 trial	 setSize	 targetPresent	 response	 RT
ReTest-Adi	 1	 4	 1	 RightArrow	 0.634521
ReTest-Adi	 2	 8	 0	 LeftArrow	 0.593235
ReTest-Adi	 3	 8	 0	 LeftArrow	 0.604152
ReTest-Adi	 4	 6	 0	 LeftArrow	 0.685784
ReTest-Adi	 5	 10	 1	 RightArrow	 0.423712
ReTest-Adi	 6	 12	 1	 RightArrow	 0.957542
ReTest-Adi	 7	 4	 0	 LeftArrow	 0.746324
ReTest-Adi	 8	 12	 0	 LeftArrow	 0.600661
ReTest-Adi	 9	 4	 0	 LeftArrow	 1.599539
ReTest-Adi	 10	 12	 0	 LeftArrow	 1.639160
ReTest-Adi	 11	 4	 1	 RightArrow	 0.775501
ReTest-Adi	 12	 10	 1	 RightArrow	 0.697975
ReTest-Adi	 13	 10	 0	 LeftArrow	 0.504677
ReTest-Adi	 14	 12	 0	 LeftArrow	 2.136501
ReTest-Adi	 15	 6	 1	 RightArrow	 1.136326
ReTest-Adi	 16	 8	 0	 LeftArrow	 0.629662
ReTest-Adi	 17	 12	 0	 LeftArrow	 0.596058
ReTest-Adi	 18	 12	 0	 LeftArrow	 0.586951
ReTest-Adi	 19	 4	 0	 LeftArrow	 0.975295
ReTest-Adi	 20	 4	 0	 LeftArrow	 0.708233
ReTest-Adi	 21	 4	 1	 RightArrow	 0.680430
ReTest-Adi	 22	 12	 1	 RightArrow	 0.635403
ReTest-Adi	 23	 10	 0	 LeftArrow	 0.902837
ReTest-Adi	 24	 8	 1	 RightArrow	 1.019551
ReTest-Adi	 25	 6	 0	 LeftArrow	 1.026649
ReTest-Adi	 26	 6	 0	 LeftArrow	 1.376826
ReTest-Adi	 27	 6	 1	 RightArrow	 0.612522
ReTest-Adi	 28	 6	 1	 RightArrow	 0.394730
ReTest-Adi	 29	 4	 1	 RightArrow	 0.527973
ReTest-Adi	 30	 4	 1	 RightArrow	 0.615778
ReTest-Adi	 31	 10	 0	 LeftArrow	 0.582761
ReTest-Adi	 32	 10	 1	 RightArrow	 0.622397
ReTest-Adi	 33	 4	 0	 LeftArrow	 4.970090
ReTest-Adi	 34	 8	 0	 LeftArrow	 2.841519
ReTest-Adi	 35	 8	 1	 RightArrow	 0.836613
ReTest-Adi	 36	 10	 1	 RightArrow	 0.516616
ReTest-Adi	 37	 6	 0	 LeftArrow	 4.403729
ReTest-Adi	 38	 12	 1	 RightArrow	 0.851168
ReTest-Adi	 39	 6	 1	 RightArrow	 2.070724
ReTest-Adi	 40	 8	 0	 LeftArrow	 0.595401
ReTest-Adi	 41	 10	 1	 RightArrow	 0.543939
ReTest-Adi	 42	 10	 0	 LeftArrow	 2.150441
ReTest-Adi	 43	 8	 1	 RightArrow	 1.549677
ReTest-Adi	 44	 8	 1	 RightArrow	 1.446456
ReTest-Adi	 45	 10	 0	 LeftArrow	 1.273485
ReTest-Adi	 46	 12	 1	 RightArrow	 0.867862
ReTest-Adi	 47	 6	 0	 LeftArrow	 0.608410
ReTest-Adi	 48	 12	 1	 RightArrow	 1.829128
ReTest-Adi	 49	 8	 1	 RightArrow	 0.544641
ReTest-Adi	 50	 6	 1	 RightArrow	 2.250720
