subID	 trial	 setSize	 targetPresent	 response	 RT
ReTest-Somebody	 1	 4	 0	 LeftArrow	 0.684849
ReTest-Somebody	 2	 12	 0	 LeftArrow	 0.712156
ReTest-Somebody	 3	 4	 1	 RightArrow	 0.510922
ReTest-Somebody	 4	 4	 0	 RightArrow	 0.629376
ReTest-Somebody	 5	 12	 1	 RightArrow	 0.943252
ReTest-Somebody	 6	 6	 0	 LeftArrow	 1.280311
ReTest-Somebody	 7	 8	 0	 LeftArrow	 1.613533
ReTest-Somebody	 8	 8	 1	 RightArrow	 0.943797
ReTest-Somebody	 9	 8	 0	 LeftArrow	 0.517368
ReTest-Somebody	 10	 10	 0	 LeftArrow	 0.439418
ReTest-Somebody	 11	 10	 0	 LeftArrow	 0.519162
ReTest-Somebody	 12	 6	 1	 RightArrow	 0.535946
ReTest-Somebody	 13	 12	 0	 RightArrow	 0.573909
ReTest-Somebody	 14	 12	 1	 RightArrow	 0.453939
ReTest-Somebody	 15	 10	 0	 RightArrow	 0.733128
ReTest-Somebody	 16	 6	 0	 LeftArrow	 0.661302
ReTest-Somebody	 17	 10	 0	 LeftArrow	 4.755850
ReTest-Somebody	 18	 4	 1	 RightArrow	 3.399270
ReTest-Somebody	 19	 8	 0	 LeftArrow	 4.679952
ReTest-Somebody	 20	 6	 0	 LeftArrow	 0.593909
ReTest-Somebody	 21	 4	 0	 LeftArrow	 1.065708
ReTest-Somebody	 22	 4	 0	 LeftArrow	 0.975005
ReTest-Somebody	 23	 4	 0	 LeftArrow	 0.506786
ReTest-Somebody	 24	 12	 0	 LeftArrow	 3.140670
ReTest-Somebody	 25	 6	 1	 RightArrow	 0.676657
ReTest-Somebody	 26	 4	 1	 RightArrow	 2.050631
ReTest-Somebody	 27	 6	 1	 RightArrow	 0.554814
ReTest-Somebody	 28	 12	 1	 RightArrow	 0.651068
ReTest-Somebody	 29	 10	 1	 RightArrow	 1.926614
ReTest-Somebody	 30	 10	 0	 LeftArrow	 0.676730
ReTest-Somebody	 31	 8	 1	 RightArrow	 0.567283
ReTest-Somebody	 32	 8	 1	 RightArrow	 1.611295
ReTest-Somebody	 33	 6	 1	 RightArrow	 0.953675
ReTest-Somebody	 34	 10	 1	 RightArrow	 0.500677
ReTest-Somebody	 35	 8	 0	 LeftArrow	 0.607147
ReTest-Somebody	 36	 4	 1	 RightArrow	 0.764029
ReTest-Somebody	 37	 6	 0	 LeftArrow	 0.627680
ReTest-Somebody	 38	 10	 1	 RightArrow	 0.555505
ReTest-Somebody	 39	 6	 1	 RightArrow	 2.073690
ReTest-Somebody	 40	 8	 0	 LeftArrow	 0.649511
ReTest-Somebody	 41	 12	 0	 LeftArrow	 1.355610
ReTest-Somebody	 42	 10	 1	 RightArrow	 0.634882
ReTest-Somebody	 43	 8	 1	 RightArrow	 0.540668
ReTest-Somebody	 44	 6	 0	 LeftArrow	 1.118624
ReTest-Somebody	 45	 12	 1	 RightArrow	 0.972630
ReTest-Somebody	 46	 12	 0	 LeftArrow	 0.700104
ReTest-Somebody	 47	 8	 1	 RightArrow	 0.860879
ReTest-Somebody	 48	 12	 1	 RightArrow	 3.016479
ReTest-Somebody	 49	 10	 1	 RightArrow	 2.341703
ReTest-Somebody	 50	 4	 1	 RightArrow	 0.611831
