subID	 trial	 setSize	 targetPresent	 response	 RT
ReTest.Chris.Bi	 1	 8	 0	 LeftArrow	 2.895127
ReTest.Chris.Bi	 2	 4	 0	 LeftArrow	 1.259648
ReTest.Chris.Bi	 3	 8	 0	 LeftArrow	 2.586290
ReTest.Chris.Bi	 4	 16	 0	 LeftArrow	 5.091129
ReTest.Chris.Bi	 5	 8	 0	 LeftArrow	 3.599380
ReTest.Chris.Bi	 6	 4	 0	 LeftArrow	 1.536271
ReTest.Chris.Bi	 7	 8	 1	 RightArrow	 0.870050
ReTest.Chris.Bi	 8	 4	 1	 RightArrow	 1.030976
ReTest.Chris.Bi	 9	 4	 0	 LeftArrow	 1.795414
ReTest.Chris.Bi	 10	 16	 1	 RightArrow	 3.392606
ReTest.Chris.Bi	 11	 4	 1	 RightArrow	 3.219935
ReTest.Chris.Bi	 12	 16	 1	 RightArrow	 5.551465
ReTest.Chris.Bi	 13	 4	 0	 LeftArrow	 2.580367
ReTest.Chris.Bi	 14	 4	 1	 RightArrow	 1.097752
ReTest.Chris.Bi	 15	 4	 0	 LeftArrow	 1.269185
ReTest.Chris.Bi	 16	 8	 0	 LeftArrow	 3.033737
ReTest.Chris.Bi	 17	 4	 0	 LeftArrow	 1.570217
ReTest.Chris.Bi	 18	 8	 0	 LeftArrow	 2.206810
ReTest.Chris.Bi	 19	 16	 0	 LeftArrow	 5.246559
ReTest.Chris.Bi	 20	 8	 1	 RightArrow	 0.767228
ReTest.Chris.Bi	 21	 16	 1	 RightArrow	 0.839927
ReTest.Chris.Bi	 22	 8	 1	 RightArrow	 0.790030
ReTest.Chris.Bi	 23	 8	 1	 RightArrow	 0.724243
ReTest.Chris.Bi	 24	 16	 1	 RightArrow	 1.376637
ReTest.Chris.Bi	 25	 16	 0	 LeftArrow	 3.692030
ReTest.Chris.Bi	 26	 8	 0	 LeftArrow	 1.903786
ReTest.Chris.Bi	 27	 4	 0	 LeftArrow	 1.285812
ReTest.Chris.Bi	 28	 16	 0	 LeftArrow	 4.724076
ReTest.Chris.Bi	 29	 16	 1	 RightArrow	 1.781928
ReTest.Chris.Bi	 30	 16	 0	 LeftArrow	 3.851183
ReTest.Chris.Bi	 31	 4	 1	 RightArrow	 1.574458
ReTest.Chris.Bi	 32	 16	 1	 RightArrow	 1.077105
ReTest.Chris.Bi	 33	 8	 1	 RightArrow	 0.884290
ReTest.Chris.Bi	 34	 16	 0	 LeftArrow	 5.735246
ReTest.Chris.Bi	 35	 4	 1	 RightArrow	 0.807047
ReTest.Chris.Bi	 36	 4	 1	 RightArrow	 0.628731
ReTest.Chris.Bi	 37	 4	 1	 RightArrow	 0.864152
ReTest.Chris.Bi	 38	 16	 0	 LeftArrow	 4.956770
ReTest.Chris.Bi	 39	 8	 0	 LeftArrow	 2.328402
ReTest.Chris.Bi	 40	 8	 1	 RightArrow	 1.981428
ReTest.Chris.Bi	 41	 16	 1	 RightArrow	 3.002858
ReTest.Chris.Bi	 42	 8	 1	 RightArrow	 2.128240
