subID	 trial	 setSize	 targetPresent	 response	 RT
ReTest.Chris.Mono	 1	 4	 0	 LeftArrow	 0.998169
ReTest.Chris.Mono	 2	 4	 0	 LeftArrow	 1.152769
ReTest.Chris.Mono	 3	 16	 0	 LeftArrow	 0.625829
ReTest.Chris.Mono	 4	 8	 0	 LeftArrow	 2.183337
ReTest.Chris.Mono	 5	 16	 0	 LeftArrow	 0.597073
ReTest.Chris.Mono	 6	 4	 1	 RightArrow	 0.561635
ReTest.Chris.Mono	 7	 4	 1	 RightArrow	 0.707610
ReTest.Chris.Mono	 8	 8	 0	 LeftArrow	 0.882401
ReTest.Chris.Mono	 9	 4	 1	 RightArrow	 0.451500
ReTest.Chris.Mono	 10	 16	 0	 LeftArrow	 0.458338
ReTest.Chris.Mono	 11	 4	 0	 LeftArrow	 0.510109
ReTest.Chris.Mono	 12	 16	 0	 LeftArrow	 0.580643
ReTest.Chris.Mono	 13	 4	 1	 RightArrow	 0.433808
ReTest.Chris.Mono	 14	 4	 0	 LeftArrow	 0.449551
ReTest.Chris.Mono	 15	 16	 0	 LeftArrow	 0.594789
ReTest.Chris.Mono	 16	 8	 0	 LeftArrow	 0.691631
ReTest.Chris.Mono	 17	 4	 1	 RightArrow	 0.460101
ReTest.Chris.Mono	 18	 8	 0	 LeftArrow	 0.627089
ReTest.Chris.Mono	 19	 8	 0	 LeftArrow	 0.583100
ReTest.Chris.Mono	 20	 16	 1	 RightArrow	 0.543575
ReTest.Chris.Mono	 21	 8	 0	 LeftArrow	 0.647365
ReTest.Chris.Mono	 22	 8	 1	 RightArrow	 0.842876
ReTest.Chris.Mono	 23	 4	 0	 LeftArrow	 0.531875
ReTest.Chris.Mono	 24	 16	 1	 RightArrow	 0.489794
ReTest.Chris.Mono	 25	 8	 0	 LeftArrow	 0.478507
ReTest.Chris.Mono	 26	 4	 0	 LeftArrow	 0.844653
ReTest.Chris.Mono	 27	 8	 1	 RightArrow	 0.961521
ReTest.Chris.Mono	 28	 16	 0	 LeftArrow	 0.605452
ReTest.Chris.Mono	 29	 8	 1	 RightArrow	 0.533493
ReTest.Chris.Mono	 30	 8	 1	 RightArrow	 0.424514
ReTest.Chris.Mono	 31	 16	 1	 RightArrow	 0.608045
ReTest.Chris.Mono	 32	 4	 0	 LeftArrow	 0.462716
ReTest.Chris.Mono	 33	 16	 1	 RightArrow	 0.836732
ReTest.Chris.Mono	 34	 4	 1	 RightArrow	 0.646716
ReTest.Chris.Mono	 35	 8	 1	 RightArrow	 0.659432
ReTest.Chris.Mono	 36	 8	 1	 RightArrow	 0.563570
ReTest.Chris.Mono	 37	 4	 1	 RightArrow	 0.921060
ReTest.Chris.Mono	 38	 16	 1	 RightArrow	 0.665618
ReTest.Chris.Mono	 39	 16	 1	 RightArrow	 0.577091
ReTest.Chris.Mono	 40	 16	 1	 RightArrow	 0.691843
ReTest.Chris.Mono	 41	 8	 1	 RightArrow	 1.321167
ReTest.Chris.Mono	 42	 16	 0	 LeftArrow	 0.908553
